Date,Maturity,F,lambda_,Mean_rnd,Std_rnd,IQR_rnd,Q10_rnd,Q90_rnd,Mean_rwd,Std_rwd,IQR_rwd,Q10_rwd,Q90_rwd,VRP,Mean_shift,IQR_diff
2020-02-01,3M,5.0,-0.1,5.0007588093776825,0.36494389292773505,0.8688688688688693,4.555555555555555,5.424424424424425,4.98734713944057,0.36759764019348645,0.8688688688688693,4.541541541541541,5.41041041041041,-0.0019439800905698135,0.013411669937112514,0.0
2020-03-01,3M,6.0,-0.1,5.999966244727034,0.7632936500453538,1.5275275275275266,5.2142142142142145,6.741741741741741,5.945870781585765,0.7121193609035747,1.5135135135135132,5.172172172172172,6.685685685685685,0.0755032120258432,0.054095463141268674,0.014014014014013476
2020-04-01,3M,5.0,-0.1,5.006167785102396,0.5199310986799055,1.135135135135135,4.42942942942943,5.564564564564565,4.979730889853686,0.5094957074151595,1.135135135135135,4.401401401401401,5.536536536536536,0.010742471500019779,0.02643689524871018,0.0
2020-05-01,3M,4.0,-0.1,4.067636834141623,0.5579143877075518,1.3663663663663663,3.4264264264264264,4.792792792792793,4.036975334657122,0.5500607618948057,1.2012012012012012,3.3663663663663663,4.5675675675675675,0.0087016222347982,0.030661499484500254,0.1651651651651651
2020-06-01,3M,4.25,-0.1,4.25163889704012,0.5428230953766546,1.0360360360360357,3.711711711711712,4.747747747747748,4.223629551071765,0.5171789418785636,1.0360360360360357,3.681681681681682,4.717717717717718,0.027182854951662117,0.028009345968355248,0.0
2020-07-01,3M,4.0,-0.1,4.002132965440189,0.5471984789041167,1.006006006006006,3.4864864864864864,4.4924924924924925,3.9740446592745413,0.5142551784456317,0.9759759759759761,3.4714714714714714,4.4474474474474475,0.03496778675683054,0.028088306165647392,0.03003003003003002
2020-08-01,3M,4.0,-0.1,4.003181569889536,0.5285744866658871,0.9759759759759761,3.5015015015015014,4.4774774774774775,3.9768184019534147,0.499633076710455,0.945945945945946,3.4864864864864864,4.4324324324324325,0.029757776610950637,0.026363167936121368,0.03003003003003002
2020-09-01,3M,4.0,-0.1,4.001698847549864,0.4693731789420836,0.840840840840841,3.5465465465465464,4.387387387387387,3.980713525514157,0.44791300798607864,0.840840840840841,3.5315315315315314,4.372372372372372,0.019685118387060302,0.020985322035707465,0.0
2020-10-01,3M,4.0,-0.1,4.001979759732995,0.4921866090240512,0.885885885885886,3.5165165165165164,4.402402402402402,3.979103457506834,0.4658676460702296,0.870870870870871,3.5015015015015014,4.372372372372372,0.025214994447577493,0.022876302226161105,0.01501501501501501
2020-11-01,3M,4.0,-0.1,4.001721700345506,0.4916210912023988,0.885885885885886,3.5165165165165164,4.402402402402402,3.9789219595855045,0.46486807782882095,0.885885885885886,3.5015015015015014,4.387387387387387,0.02558896753077458,0.022799740760001352,0.0
2020-12-01,3M,4.0,-0.1,4.00044062942128,0.4467271317729851,0.795795795795796,3.5615615615615615,4.357357357357357,3.98154946249747,0.4239476760783319,0.810810810810811,3.5465465465465464,4.357357357357357,0.019833498209899825,0.018891166923809877,-0.01501501501501501
2021-01-01,3M,4.0,-0.1,4.001006557170161,0.5061056122667509,0.870870870870871,3.5165165165165164,4.387387387387387,3.9771009953218686,0.47366965657484367,0.870870870870871,3.5015015015015014,4.372372372372372,0.03177994720817243,0.0239055618482924,0.0
2021-02-01,3M,4.0,-0.1,4.002066421594192,0.5203434916609919,0.930930930930931,3.4864864864864864,4.4174174174174174,3.9767034496902465,0.4889132970493799,0.930930930930931,3.4714714714714714,4.402402402402402,0.03172113728225756,0.02536297190394521,0.0
2021-03-01,3M,4.25,-0.1,4.25396452711126,0.612333912440261,1.2312312312312308,3.621621621621622,4.852852852852853,4.218572017099565,0.5800725294282466,1.2312312312312312,3.5915915915915915,4.822822822822823,0.03846868092711331,0.035392510011694966,-4.440892098500626e-16
2021-04-01,3M,5.0,-0.1,5.000917095067533,0.6998098830369078,1.3213213213213217,4.297297297297297,5.618618618618619,4.955365174837317,0.6538909525916601,1.3213213213213217,4.252252252252252,5.573573573573574,0.062160494514901965,0.04555192023021615,0.0
2021-05-01,3M,5.5,-0.1,5.500140957467857,0.7213242761564997,1.3213213213213217,4.777777777777778,6.099099099099099,5.451827716902109,0.673141336127662,1.3363363363363367,4.732732732732733,6.069069069069069,0.06718945296896417,0.04831324056574804,-0.01501501501501501
2021-06-01,3M,5.75,-0.1,5.749957303641701,0.71984599946814,1.4414414414414418,5.003003003003003,6.444444444444445,5.701130901573691,0.6813441580805583,1.4564564564564568,4.942942942942943,6.3993993993994,0.05394840119978056,0.04882640206801003,-0.01501501501501501
2021-07-01,3M,6.5,-0.1,6.49992733086832,0.7098342275799282,1.396396396396396,5.738738738738739,7.135135135135135,6.451781561519823,0.680781690500395,1.396396396396396,5.693693693693694,7.09009009009009,0.04040092052341748,0.04814576934849679,0.0
2021-08-01,3M,6.5,-0.1,6.499981209814295,0.6778900969988112,1.441441441441441,5.738738738738739,7.18018018018018,6.4554291277593405,0.6588771254620358,1.441441441441441,5.693693693693694,7.135135135135135,0.02541591715194247,0.04455208205495431,0.0
2021-09-01,3M,6.5,-0.1,6.500000363315679,0.6194918437024782,1.441441441441441,5.768768768768769,7.21021021021021,6.462208544492285,0.6106643107568113,1.426426426426426,5.738738738738739,7.165165165165165,0.010859243981804323,0.03779181882339344,0.01501501501501501
2021-10-01,3M,7.25,-0.1,7.249947989943807,0.7033296649390388,1.606606606606606,6.42942942942943,8.036036036036036,7.201436402393457,0.690992171645853,1.606606606606606,6.384384384384385,7.990990990990991,0.017202436307408586,0.04851158755034923,0.0
2021-11-01,3M,8.0,-0.1,7.9994694881590265,0.7842163470901174,1.711711711711711,7.12012012012012,8.831831831831831,7.940181622143105,0.758217886176718,1.6966966966966979,7.06006006006006,8.756756756756758,0.040100916125077046,0.05928786601592151,0.015015015015013233
2021-12-01,3M,2.0,-0.1,2.7083655905254065,0.635863039871635,1.5165165165165169,2.09009009009009,3.606606606606607,2.6696711754273648,0.6083109117909534,1.4114114114114114,2.09009009009009,3.5015015015015014,0.034279640070855266,0.03869441509804172,0.10510510510510551
2022-01-01,3M,8.75,-0.1,8.747335806518066,0.8693633950545621,2.042042042042043,7.7057057057057055,9.747747747747749,8.673095931159141,0.8556454010827319,2.0570570570570563,7.615615615615615,9.672672672672672,0.023663660266765363,0.07423987535892529,-0.015015015015013233
2022-02-01,3M,9.5,-0.1,9.494216752593438,0.965314513307353,2.3423423423423433,8.306306306306306,10.64864864864865,9.401405082218774,0.9621964834683017,2.3573573573573583,8.2012012012012,10.558558558558559,0.006010036803046015,0.09281167037466354,-0.01501501501501501
2022-03-01,3M,8.75,-0.1,9.020062725052496,2.3648928704098724,5.605605605605606,7.213213213213213,12.81881881881882,8.539213782978896,2.034486265146116,3.83983983983984,7.129129129129129,10.96896896896897,1.4535839254472531,0.4808489420735995,1.7657657657657664
2022-04-01,3M,8.0,-0.1,8.102993957632512,1.9305055879348083,4.891891891891891,5.72972972972973,10.621621621621621,7.738784128270206,1.8887028842263347,4.8108108108108105,5.324324324324325,10.135135135135135,0.15965324016264493,0.3642098293623057,0.0810810810810807
2022-05-01,3M,4.0,-0.1,4.929730754684306,1.4612807469707827,3.6486486486486487,3.3513513513513513,7.0,4.733630137811805,1.3412060211550763,3.3513513513513518,3.2972972972972974,6.648648648648649,0.3365078302848574,0.19610061687250102,0.2972972972972969
