Date,MPU_pca,MPU_decay,MPU_pca_norm,MPU_decay_norm
2021-04-01,-1.4716628051284777,1.1511511511511512,-0.7899449860027836,-0.8064802884691911
2021-05-01,-1.4408614562492303,1.1631631631631638,-0.7734117346190471,-0.7951363050011678
2021-06-01,-1.5010910625149914,1.1771771771771775,-0.8057412025601807,-0.7819016576218085
2021-07-01,-1.2409140984885265,1.277277277277277,-0.666085917742277,-0.6873684620549543
2021-08-01,-1.2558829220729524,1.263263263263263,-0.6741207386915264,-0.7006031094343139
2021-09-01,-1.3196130233219476,1.239239239239239,-0.7083291686142346,-0.7232910763703589
2021-10-01,-1.2807397960498887,1.339339339339339,-0.6874631720922739,-0.6287578808035044
2021-11-01,-1.1417116392351776,1.441441441441441,-0.6128369771471608,-0.5323340213253126
2021-12-01,-1.0014807094751987,1.5365365365365367,-0.5375651693251692,-0.4425274855367999
2022-01-01,-0.5207376239814744,1.7627627627627631,-0.27951652624070833,-0.2288824635557078
2022-02-01,-0.11859443230318135,2.0240240240240253,-0.06365797711219999,0.01784917687378412
2022-04-01,2.682266011377266,3.947747747747748,1.4397609149523756,1.834588129277599
2022-05-01,1.8030809627356768,3.326126126126126,0.9678404325410492,1.2475369848074302
2022-12-01,0.6863375349652585,2.574774774774775,0.36840565145898635,0.5379708188826184
2023-01-01,0.6664999523085644,2.545945945945947,0.3577574249090851,0.510745258559365
2023-02-01,0.6129175353582585,2.4774774774774775,0.3289959712253321,0.4460845527916353
2023-03-01,0.6352025418135004,2.448648648648649,0.34095790234910006,0.4188589924683814
2023-04-01,0.11607782461913649,2.1225225225225226,0.062307136678630845,0.11086984131156817
2023-05-01,-0.12837103928250543,1.9711711711711712,-0.06890577004175132,-0.032064350385516326
2023-06-01,-0.2274726216002946,1.915315315315315,-0.12210056288700864,-0.08481387351182161
2023-07-01,0.2703391821865043,2.275675675675675,0.14511006240296923,0.2555056305288554
2023-08-01,0.5202174258908882,2.5135135135135136,0.2792372993200069,0.4801165031957031
2023-09-01,0.257943521593827,2.353153153153153,0.13845643910063746,0.32867432389760154
2023-10-01,-0.059070818022021555,2.104504504504505,-0.03170746474869636,0.09385386610953489
2023-11-01,0.5269930936010824,2.4018018018018017,0.2828742769726572,0.37461745694309295
2023-12-01,0.9626502580711725,2.6720720720720728,0.5167221336216492,0.6298570849736017
2024-01-01,-0.18748470860771654,1.8144144144144148,-0.1006362361002452,-0.1801033346432107
2024-02-01,-0.4885507281027952,1.587387387387388,-0.26223955428371404,-0.39450462218883714
2024-03-01,-0.03187761092773628,1.798198198198199,-0.01711095695995011,-0.19541771232504082
2024-04-01,0.404961623082725,2.0036036036036036,0.21737139959164786,-0.0014355950218554652
2024-05-01,1.1247118566106225,2.513513513513515,0.6037119975658278,0.48011650319570437
2024-06-01,2.1565800066473377,3.1621621621621614,1.15758824455456,1.0926916104689215
2024-07-01,3.329176789946045,4.054054054054054,1.787003451857391,1.934982382969599
2024-08-01,2.194872224154916,3.0864864864864856,1.1781423722512228,1.021224514620379
2024-09-01,2.2643112641230436,3.2144144144144153,1.2154151913131142,1.1420379385548214
2024-10-01,2.4021712651222527,3.320720720720721,1.2894143548308443,1.2424321922468204
2024-11-01,4.546356861446651,4.372372372372373,2.440349647190821,2.2355979448721977
2024-12-01,3.7150150485015176,4.094761428094761,1.9941099960275637,1.9734258825001187
2025-01-01,3.4423121778595642,3.9346012679346014,1.8477311757016872,1.822172769593152
2025-02-01,3.5135379620252274,3.8918918918918926,1.8859630661046454,1.7818386061512945
2025-03-01,3.307966760470272,3.7183850517183856,1.7756185365228654,1.617981067168746
2025-04-01,3.291878207868144,3.6943610276943613,1.7669826782163265,1.5952931002327007
2025-05-01,3.5523892586522035,3.854521187854522,1.9068172909061665,1.7465462131396685
2025-06-01,2.814012329803801,3.3793793793793796,1.5104784348235676,1.2978286448489973
2025-07-01,2.1703459816893775,3.149816483149818,1.164977412048638,1.0810325163490115
2025-08-01,1.0997452713865725,2.65331998665332,0.5903106744185546,0.6121478663374104
2025-10-01,1.7418874781458678,3.088421755088421,0.9349935832768673,1.0230521564013384
