Date,Maturity,F,Mean,Std,Skew,Kurt,Q01,Q10,Q25,Q50,Q75,Q90,Q99,IQR_9010,IQR_7525,Tail_right,Tail_left,Tail_total,flag_mean_ok,flag_std_ok,flag_iqr_ok,flag_mono_ok,quality_ok
2023-02-01,1M,7.0,7.00016990056669,0.7404178132037101,0.12617579365812798,5.013759152218674,5.135135135135135,6.108108108108109,6.5675675675675675,7.0,7.4324324324324325,7.864864864864865,8.91891891891892,1.7567567567567561,0.8648648648648649,1.0540540540540544,0.9729729729729737,2.027027027027028,True,True,True,True,True
2023-03-01,1M,7.0,7.000130916911674,0.7111675118244039,0.1065078494205949,4.977916193763005,5.1891891891891895,6.135135135135135,6.5675675675675675,7.0,7.4324324324324325,7.810810810810811,8.837837837837839,1.6756756756756763,0.8648648648648649,1.0270270270270272,0.9459459459459456,1.9729729729729728,True,True,True,True,True
2023-04-01,1M,7.0,7.0002031066015835,0.6071874841810669,0.08601836830784959,4.859894424421511,5.486486486486487,6.27027027027027,6.621621621621622,7.0,7.351351351351352,7.702702702702703,8.567567567567568,1.4324324324324325,0.7297297297297298,0.8648648648648658,0.7837837837837833,1.6486486486486491,True,True,True,True,True
2023-05-01,1M,7.0,7.000341197930064,0.5528428036176272,0.10333749230855208,4.696393651211983,5.648648648648649,6.351351351351352,6.648648648648649,7.0,7.324324324324325,7.675675675675676,8.432432432432432,1.3243243243243246,0.6756756756756754,0.7567567567567552,0.7027027027027026,1.4594594594594579,True,True,True,True,True
2023-06-01,1M,7.0,7.000458800109673,0.53603461383766,-0.0646644068695329,4.6810277914904095,5.648648648648649,6.351351351351352,6.675675675675675,7.0,7.324324324324325,7.648648648648649,8.324324324324325,1.2972972972972974,0.6486486486486491,0.6756756756756754,0.7027027027027026,1.378378378378378,True,True,True,True,True
2023-07-01,1M,7.5,7.500488490245878,0.6779508684884742,0.1496565261828278,4.753974453051884,5.837837837837839,6.7027027027027035,7.081081081081082,7.486486486486487,7.918918918918919,8.324324324324325,9.27027027027027,1.621621621621621,0.8378378378378377,0.9459459459459456,0.8648648648648649,1.8108108108108105,True,True,True,True,True
2023-08-01,1M,9.0,9.000528487053197,0.8641010898578513,-0.10097699470534474,4.113096490508715,6.837837837837839,7.9459459459459465,8.45945945945946,9.0,9.54054054054054,10.054054054054054,11.054054054054054,2.108108108108108,1.0810810810810807,1.0,1.108108108108108,2.108108108108108,True,True,True,True,True
2023-09-01,1M,11.0,11.000254504112066,0.7675454782038389,-0.0037240600175595696,5.3306607409235784,9.08108108108108,10.08108108108108,10.54054054054054,11.0,11.45945945945946,11.91891891891892,12.91891891891892,1.8378378378378386,0.9189189189189193,1.0,1.0,2.0,True,True,True,True,True
2023-10-01,1M,12.5,12.500056923694949,0.6930847021147613,0.25954355910534554,5.633158804650357,10.837837837837839,11.675675675675675,12.08108108108108,12.486486486486488,12.91891891891892,13.324324324324325,14.297297297297298,1.6486486486486491,0.8378378378378386,0.9729729729729737,0.8378378378378368,1.8108108108108105,True,True,True,True,True
2023-11-01,1M,14.0,14.00007122657136,0.7241692967594444,0.1413943129147928,5.286905970951245,12.243243243243244,13.135135135135135,13.54054054054054,14.0,14.432432432432433,14.864864864864865,15.864864864864865,1.7297297297297298,0.891891891891893,1.0,0.8918918918918912,1.8918918918918912,True,True,True,True,True
