Date,MPU_decay,MPU_pca,MPU_decay_norm,MPU_pca_norm
2021-02-01,0.8408408408408408,-2.008636713965675,-1.099533194726441,-1.0781766688462109
2021-03-01,1.0420420420420418,-1.6704461230800256,-0.9095214716370631,-0.8966459808024134
2021-04-01,1.1511511511511512,-1.4716628051284777,-0.8064802884691911,-0.7899449860027836
2021-05-01,1.1631631631631638,-1.4408614562492303,-0.7951363050011678,-0.7734117346190471
2021-06-01,1.1771771771771775,-1.5010910625149914,-0.7819016576218085,-0.8057412025601807
2021-07-01,1.277277277277277,-1.2409140984885265,-0.6873684620549543,-0.666085917742277
2021-08-01,1.263263263263263,-1.2558829220729524,-0.7006031094343139,-0.6741207386915264
2021-09-01,1.239239239239239,-1.3196130233219476,-0.7232910763703589,-0.7083291686142346
2021-10-01,1.339339339339339,-1.2807397960498887,-0.6287578808035044,-0.6874631720922739
2021-11-01,1.441441441441441,-1.1417116392351776,-0.5323340213253126,-0.6128369771471608
2021-12-01,1.5365365365365367,-1.0014807094751987,-0.4425274855367999,-0.5375651693251692
2022-01-01,1.7627627627627631,-0.5207376239814744,-0.2288824635557078,-0.27951652624070833
2022-02-01,2.0240240240240253,-0.11859443230318135,0.01784917687378412,-0.06365797711219999
2022-04-01,3.947747747747748,2.682266011377266,1.834588129277599,1.4397609149523756
2022-05-01,3.326126126126126,1.8030809627356768,1.2475369848074302,0.9678404325410492
2022-12-01,2.574774774774775,0.6863375349652585,0.5379708188826184,0.36840565145898635
2023-01-01,2.545945945945947,0.6664999523085644,0.510745258559365,0.3577574249090851
2023-02-01,2.4774774774774775,0.6129175353582585,0.4460845527916353,0.3289959712253321
2023-03-01,2.448648648648649,0.6352025418135004,0.4188589924683814,0.34095790234910006
2023-04-01,2.1225225225225226,0.11607782461913649,0.11086984131156817,0.062307136678630845
2023-05-01,1.9711711711711712,-0.12837103928250543,-0.032064350385516326,-0.06890577004175132
2023-06-01,1.915315315315315,-0.2274726216002946,-0.08481387351182161,-0.12210056288700864
2023-07-01,2.275675675675675,0.2703391821865043,0.2555056305288554,0.14511006240296923
2023-08-01,2.5135135135135136,0.5202174258908882,0.4801165031957031,0.2792372993200069
2023-09-01,2.353153153153153,0.257943521593827,0.32867432389760154,0.13845643910063746
2023-10-01,2.104504504504505,-0.059070818022021555,0.09385386610953489,-0.03170746474869636
2023-11-01,2.4018018018018017,0.5269930936010824,0.37461745694309295,0.2828742769726572
2023-12-01,2.6720720720720728,0.9626502580711725,0.6298570849736017,0.5167221336216492
2024-01-01,1.8144144144144148,-0.18748470860771654,-0.1801033346432107,-0.1006362361002452
2024-02-01,1.587387387387388,-0.4885507281027952,-0.39450462218883714,-0.26223955428371404
2024-03-01,1.798198198198199,-0.03187761092773628,-0.19541771232504082,-0.01711095695995011
2024-04-01,2.0036036036036036,0.404961623082725,-0.0014355950218554652,0.21737139959164786
2024-05-01,2.513513513513515,1.1247118566106225,0.48011650319570437,0.6037119975658278
2024-06-01,3.1621621621621614,2.1565800066473377,1.0926916104689215,1.15758824455456
2024-07-01,4.054054054054054,3.329176789946045,1.934982382969599,1.787003451857391
2024-08-01,3.0864864864864856,2.194872224154916,1.021224514620379,1.1781423722512228
2024-09-01,3.2144144144144153,2.2643112641230436,1.1420379385548214,1.2154151913131142
2024-10-01,3.320720720720721,2.4021712651222527,1.2424321922468204,1.2894143548308443
2024-11-01,4.372372372372373,4.546356861446651,2.2355979448721977,2.440349647190821
2024-12-01,4.094761428094761,3.7150150485015176,1.9734258825001187,1.9941099960275637
2025-01-01,3.9346012679346014,3.4423121778595642,1.822172769593152,1.8477311757016872
2025-02-01,3.8918918918918926,3.5135379620252274,1.7818386061512945,1.8859630661046454
2025-03-01,3.7183850517183856,3.307966760470272,1.617981067168746,1.7756185365228654
2025-04-01,3.6943610276943613,3.291878207868144,1.5952931002327007,1.7669826782163265
2025-05-01,3.854521187854522,3.5523892586522035,1.7465462131396685,1.9068172909061665
2025-06-01,3.3793793793793796,2.814012329803801,1.2978286448489973,1.5104784348235676
2025-07-01,3.149816483149818,2.1703459816893775,1.0810325163490115,1.164977412048638
2025-08-01,2.65331998665332,1.0997452713865725,0.6121478663374104,0.5903106744185546
2025-10-01,3.088421755088421,1.7418874781458678,1.0230521564013384,0.9349935832768673
